iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
54,21059.471162026188,0.0,21059.471162031135,21059.471162031135,"[-0.00943532 -0.02796117  0.00337915  0.0100217   0.00656853  0.01032077
  0.00834351  0.00131871]"
55,21059.44871983864,0.0004059275590885729,21465.376278923235,21059.44871983466,"[-0.00451087 -0.0327806   0.00376881  0.0104114   0.00695823  0.01071048
  0.00873322  0.00170843]"
56,21059.552887927766,0.0,21059.552887932845,21059.552887932845,"[-0.00494683 -0.0329573   0.00376883  0.01041141  0.00695824  0.01071048
  0.00873323  0.00170843]"
57,21059.530816473547,0.0,21059.530816474668,21059.530816474668,"[-0.0053808  -0.03313248  0.00376885  0.01041141  0.00695824  0.01071049
  0.00873323  0.00170843]"
58,21059.50897081299,0.0,21059.508970823008,21059.508970823008,"[-0.00581279 -0.03330616  0.00376886  0.01041142  0.00695825  0.01071049
  0.00873324  0.00170844]"
59,21059.48734845944,0.0,21059.487348456474,21059.487348456474,"[-0.00624281 -0.03347833  0.00376888  0.01041143  0.00695825  0.0107105
  0.00873324  0.00170844]"
60,21059.465946957986,0.0,21059.465946956258,21059.465946956258,"[-0.00667087 -0.03364904  0.00376889  0.01041144  0.00695826  0.0107105
  0.00873324  0.00170844]"
61,21059.444763884858,0.0,21059.44476387377,21059.44476387377,"[-0.00709697 -0.03381828  0.00376891  0.01041145  0.00695826  0.01071051
  0.00873325  0.00170845]"
62,21059.423796847048,0.0,21059.423796847546,21059.423796847546,"[-0.00752113 -0.03398607  0.00376893  0.01041145  0.00695827  0.01071051
  0.00873325  0.00170845]"
63,21059.403043481747,0.0,21059.403043485763,21059.403043485763,"[-0.00794335 -0.03415244  0.00376894  0.01041146  0.00695828  0.01071051
  0.00873326  0.00170845]"
64,21059.38250145595,0.0,21059.3825014521,21059.3825014521,"[-0.00836364 -0.03431739  0.00376896  0.01041147  0.00695828  0.01071052
  0.00873326  0.00170846]"
65,21059.362168465865,0.0,21059.362168460502,21059.362168460502,"[-0.008782   -0.03448094  0.00376897  0.01041148  0.00695829  0.01071052
  0.00873327  0.00170846]"
66,21059.34204223657,0.0,21059.34204223354,21059.34204223354,"[-0.00919845 -0.0346431   0.00376899  0.01041149  0.00695829  0.01071053
  0.00873327  0.00170846]"
