iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
25,4870.115188446555,0.00019592383972616857,4884.221704906898,4870.1151884466135,[-0.0005793   0.03888762  0.0382614 ]
26,4869.844086074396,0.0001956031524340176,4883.92751304976,4869.84408607451,[-0.00051188  0.04018666  0.03925752]
27,4869.57778023281,0.0001955738234855767,4883.659095524314,4869.577780233352,[-0.00044449  0.04147447  0.0402443 ]
28,4869.316186847125,0.00019537745667029018,4883.38336372779,4869.316186847529,[-0.00037728  0.04275119  0.04122179]
29,4869.05921662752,0.00019526878884458445,4883.118569424199,4869.059216627389,[-0.00031017  0.0440169   0.04219009]
30,4868.806785849369,0.00019510649152370673,4882.854453238954,4868.806785849248,[-0.00024321  0.04527173  0.04314928]
31,4868.55881026391,0.0001949691513341385,4882.5965891602855,4868.558810264228,[-0.00017638  0.04651577  0.04409945]
32,4868.3152084517305,0.00019481327265385377,4882.3417640825655,4868.315208451488,[-0.0001097   0.04774913  0.0450407 ]
33,4868.075899895172,0.00019466311334519464,4882.0916440560095,4868.075899895155,[-4.31529574e-05  4.89719025e-02  4.59730968e-02]
34,4867.84080600466,0.00019450533494267275,4881.845190120513,4867.84080600464,[2.32457242e-05 5.01841967e-02 4.68967369e-02]
35,4867.609849495348,0.00019434745359101294,4881.6028661537775,4867.609849495225,[8.94974807e-05 5.13861091e-02 4.78117020e-02]
36,4867.382954686393,0.00019418541712214795,4881.3643047189635,4867.382954686169,[0.0001556  0.05257774 0.04871807]
37,4867.160047286135,0.00019402158620421446,4881.129601492899,4867.160047286196,[0.00022155 0.05375918 0.04961594]
38,4866.941054465284,0.00019385476451561166,4880.898597510209,4866.941054465085,[0.00028734 0.05493054 0.05050537]
39,4866.725904770421,0.00019368572543900387,4880.671277002047,4866.725904770438,[0.00035298 0.0560919  0.05138646]
40,4866.5145281276,0.00019351414905152253,4880.447546859858,4866.514528128148,[0.00041845 0.05724336 0.05225928]
41,4866.30685579666,0.00019334031936876946,4880.227358791756,4866.306855797205,[0.00048377 0.05838501 0.05312391]
42,4866.10282035398,0.0001931641841012438,4880.010641608845,4866.102820353555,[0.00054892 0.05951695 0.05398043]
43,4865.902355660326,0.00019298587544409884,4879.797338691781,4865.902355659806,[0.0006139  0.06063927 0.05482892]
44,4865.705396837896,0.00019280542170051033,4879.587387200622,4865.705396838185,[0.00067872 0.06175205 0.05566945]
45,4865.511880243137,0.0001926229069530369,4879.380729544315,4865.511880243696,[0.00074337 0.06285539 0.0565021 ]
46,4865.321743442795,0.00019243838269648525,4879.177306997106,4865.321743442959,[0.00080784 0.06394938 0.05732695]
47,4865.134925188997,0.00019225191675789708,4878.977063195342,4865.134925188774,[0.00087214 0.06503409 0.05814406]
48,4864.951365395706,0.000192063566242821,4878.779942164935,4864.951365395452,[0.00093627 0.06610963 0.05895351]
49,4864.771005115219,0.00019187339252206993,4878.585889376804,4864.771005115214,[0.00100022 0.06717607 0.05975539]
50,4864.593786515432,0.00019168145295727235,4878.394851128641,4864.5937865157175,[0.00106399 0.06823351 0.06054974]
51,4864.419652857447,0.00019148780549020465,4878.2067748529935,4864.419652857699,[0.00112758 0.06928201 0.06133666]
52,4864.2485484737335,0.00019129250613225592,4878.021608915464,4864.248548473941,[0.00119099 0.07032167 0.06211621]
53,4864.080418746729,0.0001910956103609628,4877.839302692963,4864.080418746974,[0.00125421 0.07135257 0.06288845]
54,4863.915210087909,0.00019089717237266886,4877.659806498858,4863.9152100880265,[0.00131725 0.07237479 0.06365346]
55,4863.752869917291,0.0001906972455081781,4877.483071594387,4863.752869917798,[0.00138011 0.07338841 0.06441131]
