iteration,loss,loss_exposure,DELTR_Loss(calculated),loss_standard,omega
15,4915.161527987762,0.0,4915.161527988009,4915.161527988009,[0.00206688 0.00962752 0.0074032  0.00680214 0.0028848 ]
16,4915.158190737923,0.0,4915.158190737908,4915.158190737908,[0.00199555 0.00961791 0.00738137 0.00663956 0.00284953]
17,4915.154858664644,0.0,4915.154858664279,4915.154858664279,[0.00192429 0.0096083  0.00735956 0.00647709 0.00281428]
18,4915.15153175906,0.0,4915.151531758934,4915.151531758934,[0.00185312 0.00959869 0.00733776 0.00631475 0.00277904]
19,4915.148210012315,0.0,4915.148210012463,4915.148210012463,[0.00178203 0.00958909 0.00731596 0.00615252 0.00274383]
20,4915.144893415568,0.0,4915.144893415629,4915.144893415629,[0.00171102 0.0095795  0.00729418 0.00599042 0.00270862]
21,4915.141581960008,0.0,4915.141581959687,4915.141581959687,[0.00164009 0.00956991 0.00727241 0.00582843 0.00267344]
22,4915.13827563682,0.0,4915.138275636738,4915.138275636738,[0.00156923 0.00956032 0.00725065 0.00566656 0.00263827]
23,4915.134974437224,0.0,4915.134974436799,4915.134974436799,[0.00149846 0.00955074 0.0072289  0.0055048  0.00260312]
24,4915.131678352442,0.0,4915.131678352279,4915.131678352279,[0.00142776 0.00954116 0.00720716 0.00534317 0.00256799]
25,4915.128387373722,0.0,4915.128387373724,4915.128387373724,[0.00135715 0.00953158 0.00718542 0.00518165 0.00253287]
26,4915.1251014923255,0.0,4915.125101492585,4915.125101492585,[0.00128661 0.00952201 0.0071637  0.00502025 0.00249777]
27,4915.121820699527,0.0,4915.121820699285,4915.121820699285,[0.00121615 0.00951245 0.00714199 0.00485897 0.00246268]
28,4915.1185449866225,0.0,4915.118544986552,4915.118544986552,[0.00114577 0.00950288 0.00712029 0.0046978  0.00242762]
29,4915.115274344921,0.0,4915.115274344647,4915.115274344647,[0.00107547 0.00949333 0.0070986  0.00453676 0.00239257]
30,4915.112008765747,0.0,4915.112008765767,4915.112008765767,[0.00100525 0.00948377 0.00707692 0.00437583 0.00235753]
31,4915.108748240442,0.0,4915.108748240137,4915.108748240137,[0.00093511 0.00947422 0.00705525 0.00421502 0.00232252]
32,4915.105492760364,0.0,4915.105492760508,4915.105492760508,[0.00086505 0.00946468 0.00703359 0.00405432 0.00228752]
33,4915.102242316889,0.0,4915.102242317342,4915.102242317342,[0.00079506 0.00945514 0.00701193 0.00389375 0.00225253]
34,4915.098996901402,0.0,4915.098996901049,4915.098996901049,[0.00072515 0.0094456  0.00699029 0.00373329 0.00221757]
35,4915.095756505316,0.0,4915.095756505496,4915.095756505496,[0.00065532 0.00943607 0.00696866 0.00357294 0.00218262]
36,4915.092521120045,0.0,4915.092521120052,4915.092521120052,[0.00058557 0.00942654 0.00694704 0.00341272 0.00214768]
37,4915.089290737032,0.0,4915.089290737262,4915.089290737262,[0.0005159  0.00941702 0.00692543 0.00325261 0.00211277]
38,4915.08606534773,0.0,4915.086065348167,4915.086065348167,[0.0004463  0.0094075  0.00690383 0.00309261 0.00207787]
39,4915.082844943604,0.0,4915.082844943763,4915.082844943763,[0.00037679 0.00939798 0.00688224 0.00293274 0.00204298]
40,4915.079629516145,0.0,4915.079629515936,4915.079629515936,[0.00030735 0.00938847 0.00686066 0.00277298 0.00200812]
41,4915.07641905685,0.0,4915.076419057105,4915.076419057105,[0.00023799 0.00937896 0.00683909 0.00261333 0.00197327]
42,4915.07321355724,0.0,4915.073213557425,4915.073213557425,[0.00016871 0.00936946 0.00681753 0.0024538  0.00193843]
43,4915.070013008838,0.0,4915.07001300907,4915.07001300907,"[9.95005715e-05 9.35995855e-03 6.79597633e-03 2.29439137e-03
 1.90361727e-03]"
44,4915.066817403203,0.0,4915.066817403314,4915.066817403314,"[3.03728870e-05 9.35046355e-03 6.77443539e-03 2.13509550e-03
 1.86881696e-03]"
45,4915.063626731893,0.0,4915.063626731551,4915.063626731551,"[-3.86772572e-05  9.34097271e-03  6.75290439e-03  1.97591552e-03
  1.83403321e-03]"
46,4915.060440986492,0.0,4915.060440986584,4915.060440986584,[-0.00010765  0.00933149  0.00673138  0.00181685  0.00179927]
47,4915.057260158586,0.0,4915.057260158832,4915.057260158832,[-0.00017655  0.009322    0.00670987  0.0016579   0.00176452]
48,4915.054084239793,0.0,4915.0540842399905,4915.0540842399905,[-0.00024536  0.00931253  0.00668837  0.00149907  0.00172978]
