q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,193,0,Al Bianchi,10,9.43,5550
1,194,0,Louis Orr,8,12.08,5545
1,195,1,Frank Selvy,12,10.89,5470
1,196,1,Anthony Johnson,21,10.4,5458
1,197,0,Kelvin Ransey,6,14.7,5380
1,198,0,Darius Miles,9,14.48,5368
1,199,0,Jason Thompson,10,13.66,5357
1,200,0,Nick Collison,13,12.78,5328
1,201,0,Shaun Livingston,18,11.6,5317
1,202,0,Brad Lohaus,17,11.07,5285
1,203,0,Andrew Lang,14,11.19,5263
1,204,0,Mark Eaton,11,10.75,5216
1,205,0,Lewis Lloyd,9,11.39,5199
1,206,1,Bobby Phills,9,13.63,5153
1,207,1,Ernie Grunfeld,9,12.44,5124
1,208,0,Blair Rasmussen,8,11.99,5119
1,209,0,Marcus Morris,8,11.18,5109
1,210,0,Avery Bradley,7,10.59,5008
1,211,0,Gary Trent,11,15.49,4996
1,212,0,Arnie Risen*,7,15.54,4936
1,213,1,Paul Seymour,9,9.49,4917
1,214,1,Chucky Brown,21,10.98,4915
1,215,1,Sheryl Swoopes,12,22.12,4875
1,216,0,Kenneth Faried,6,19.98,4858
1,217,0,Kevin Kunnert,11,13.24,4833
1,218,0,John Gianelli,10,11.21,4814
1,219,0,Dick McGuire*,9,15.47,4800
1,220,0,Nenad Krstic,9,13.38,4785
1,221,1,Ledell Eackles,7,13.5,4783
1,222,0,Charles Johnson,9,12.16,4764
1,223,0,Damon Jones,15,12.24,4684
1,224,0,Matt Bonner,12,13.42,4632
1,225,0,Aaron Williams,20,11.12,4618
1,226,0,Rick Robey,10,10.92,4541
1,227,0,Jim King,12,11.64,4516
1,228,0,Mike Glenn,10,14.53,4496
1,229,0,Walter Berry,7,17.2,4492
1,230,0,Don Buse,9,12.56,4485
1,231,0,Sonny Parker,6,15.23,4471
1,232,1,Jia Perkins,14,16.47,4435
1,233,1,Crystal Langhorne,13,16.18,4433
1,234,0,Michael Olowokandi,11,9.54,4373
1,235,0,Charlie Ward,13,12.13,4371
1,236,0,Gary Grant,13,14.08,4368
1,237,1,Elena Delle Donne,9,28.47,4323
1,238,1,Plenette Pierson,14,15.49,4258
1,239,1,Monique Currie,13,16.0,4253
1,240,0,Ish Smith,17,11.69,4231
1,241,1,Kwame Brown,14,11.38,4219
1,242,1,Skylar Diggins-Smith,9,19.19,4217
1,243,1,Tom Burleson,7,14.04,4190
1,244,0,Danny Green,8,13.28,4155
1,245,0,C.J. McCollum,4,14.92,4128
1,246,0,Clint Richardson,8,10.93,4084
1,247,0,Scott Williams,19,11.88,4037
1,248,0,Jeff Wilkins,8,9.43,3927
1,249,0,Evan Fournier,5,13.0,3918
1,250,0,Ed Davis,9,16.58,3901
1,251,0,Aaron James,5,13.7,3829
1,252,1,Elliot Perry,16,12.13,3820
1,253,1,Chasity Melvin,12,16.31,3814
1,254,1,Allie Quigley,14,13.95,3786
1,255,1,Devin Brown,12,10.01,3781
1,256,0,Max Zaslofsky,8,14.47,3770
1,257,0,Al-Farouq Aminu,7,12.21,3766
1,258,0,Wilbur Holland,4,14.0,3760
1,259,1,Jeff Foster,13,14.34,3747
1,260,1,Mike Gale,8,13.09,3743
1,261,1,Stan McKenzie,9,11.01,3705
1,262,0,Al Tucker,8,13.0,3673
1,263,1,Kentavious Caldwell-Pope,4,11.45,3665
1,264,0,Leon Douglas,7,10.2,3587
1,265,0,Damien Wilkins,9,11.28,3571
1,266,1,Draymond Green,5,14.4,3566
1,267,0,Eduardo Najera,16,10.76,3563
1,268,1,Renee Montgomery,11,13.9,3534
1,269,0,Don MacLean,9,11.27,3490
1,270,0,Michael Smith,12,13.98,3476
1,271,1,Jacque Vaughn,12,9.83,3463
1,272,0,Donald Royal,13,9.97,3458
1,273,1,DeMarre Carroll,12,11.72,3453
1,274,0,George Trapp,6,12.92,3353
1,275,0,Sly Williams,7,12.24,3327
1,276,0,Don Ford,9,9.69,3324
1,277,0,Terry Dehere,8,11.09,3318
1,278,0,Maurice Stokes*,3,20.9,3315
1,279,1,Brian Skinner,18,9.23,3300
1,280,0,Brandon Rush,9,8.66,3250
1,281,1,Andris Biedrins,10,12.69,3247
1,282,0,George Wilson,11,10.46,3141
1,283,1,Jordan Clarkson,3,14.77,3133
1,284,0,Dale Schlueter,10,12.11,3130
1,285,0,Mike Brown,11,9.05,3130
1,286,0,Kenny Walker,7,11.1,3128
1,287,0,Al Butler,6,12.63,3109
1,288,1,Shavonte Zellous,12,12.74,3103
1,289,0,Frankie Brian,5,13.54,3097
1,290,1,Briann January,14,10.74,3084
1,291,1,Mark Landsberger,9,12.91,3082
1,292,1,Norris Cole,8,9.28,3079
1,293,0,Leonard Gray,5,12.28,3042
1,294,0,Gheorghe Muresan,6,-1.05,3020
1,295,0,Luther Head,8,11.45,2991
1,296,1,Danielle Robinson,11,14.28,2973
1,297,0,Khalid Reeves,10,10.95,2962
1,298,1,Fred Hoiberg,10,12.65,2944
1,299,1,Odyssey Sims,9,13.78,2915
1,300,0,Danny Young,12,11.18,2902
1,301,1,Tyler Hansbrough,7,14.43,2881
1,302,0,Freddie Crawford,9,11.3,2858
1,303,0,Zach LaVine,3,13.4,2817
1,304,0,Tiago Splitter,7,17.04,2816
1,305,1,Bill McGill,7,15.14,2784
1,306,0,Marcus Fizer,6,13.7,2782
1,307,1,Jantel Lavender,11,14.63,2775
1,308,1,Josh McRoberts,12,12.99,2734
1,309,1,Harold Pressley,4,13.48,2702
1,310,0,Eric Montross,14,7.65,2668
1,311,0,Dave Twardzik,4,14.85,2666
1,312,1,Janeth Arcain,8,15.95,2652
1,313,1,Lindsey Harding,9,12.32,2647
1,314,0,Mike Green,6,13.47,2645
1,315,0,Kareem Rush,9,7.72,2615
1,316,1,Billy Thompson,6,8.57,2566
